Date,FB,AAPL,AMZN,NFLX,GOOGL,TSLA
2016-09-06,129.72999572753906,103.89427947998047,788.8699951171875,100.08999633789062,808.02001953125,202.8300018310547
2016-09-07,131.0500030517578,104.53095245361328,784.47998046875,99.1500015258789,807.989990234375,201.7100067138672
2016-09-08,130.27000427246094,101.79131317138672,784.0599975585938,99.66000366210938,802.8400268554688,197.36000061035156
2016-09-09,127.0999984741211,99.48577117919922,760.1400146484375,96.5,788.47998046875,194.47000122070312
2016-09-12,128.69000244140625,101.71414947509766,771.489990234375,99.05000305175781,798.8200073242188,198.3000030517578
2016-09-13,127.20999908447266,104.13542938232422,761.010009765625,96.08999633789062,788.719970703125,196.0500030517578
2016-09-14,127.7699966430664,107.82046508789062,761.0900268554688,97.01000213623047,790.4600219726562,196.41000366210938
2016-09-15,128.35000610351562,111.4861831665039,769.6900024414062,97.33999633789062,801.22998046875,200.4199981689453
2016-09-16,129.07000732421875,110.8591537475586,778.52001953125,99.4800033569336,797.969970703125,205.39999389648438
2016-09-19,128.64999389648438,109.5665054321289,775.0999755859375,98.05999755859375,795.3900146484375,206.33999633789062
2016-09-20,128.63999938964844,109.55684661865234,780.219970703125,98.25,799.780029296875,204.63999938964844
2016-09-21,129.94000244140625,109.53756713867188,789.739990234375,94.87999725341797,805.030029296875,205.22000122070312
2016-09-22,130.0800018310547,110.56976318359375,804.7000122070312,95.83000183105469,815.9500122070312,206.42999267578125
2016-09-23,127.95999908447266,108.72724151611328,805.75,95.94000244140625,814.9600219726562,207.4499969482422
2016-09-26,127.30999755859375,108.8912353515625,799.1599731445312,94.55999755859375,802.6500244140625,208.99000549316406
2016-09-27,128.69000244140625,109.09382629394531,816.1099853515625,97.06999969482422,810.72998046875,205.80999755859375
2016-09-28,129.22999572753906,109.92343139648438,828.719970703125,97.4800033569336,810.0599975585938,206.27000427246094
2016-09-29,128.08999633789062,108.21597290039062,829.0499877929688,96.66999816894531,802.6400146484375,200.6999969482422
2016-09-30,128.27000427246094,109.05523681640625,837.3099975585938,98.55000305175781,804.0599975585938,204.02999877929688
2016-10-03,128.77000427246094,108.54396057128906,836.739990234375,102.62999725341797,800.3800048828125,213.6999969482422
2016-10-04,128.19000244140625,109.00699615478516,834.030029296875,102.33999633789062,802.7899780273438,211.41000366210938
2016-10-05,128.47000122070312,109.05523681640625,844.3599853515625,106.27999877929688,801.22998046875,208.4600067138672
2016-10-06,128.74000549316406,109.86555480957031,841.6599731445312,105.06999969482422,803.0800170898438,201.0
2016-10-07,128.99000549316406,110.02954864501953,839.4299926757812,104.81999969482422,800.7100219726562,196.61000061035156
2016-10-10,130.24000549316406,111.94923400878906,841.7100219726562,103.33000183105469,814.1699829101562,200.9499969482422
2016-10-11,128.8800048828125,112.19039154052734,831.0,100.58999633789062,809.5700073242188,200.10000610351562
2016-10-12,129.0500030517578,113.19364166259766,834.0900268554688,99.5,811.77001953125,201.50999450683594
2016-10-13,127.81999969482422,112.84636688232422,829.280029296875,100.2300033569336,804.0800170898438,200.24000549316406
2016-10-14,127.87999725341797,113.473388671875,822.9600219726562,101.47000122070312,804.5999755859375,196.50999450683594
2016-10-17,127.54000091552734,113.39622497558594,812.9500122070312,99.80000305175781,806.8400268554688,193.9600067138672
2016-10-18,128.57000732421875,113.31904602050781,817.6500244140625,118.79000091552734,821.489990234375,199.10000610351562
2016-10-19,130.11000061035156,112.9814224243164,817.6900024414062,121.87000274658203,826.8400268554688,203.55999755859375
2016-10-20,130.0,112.92352294921875,810.3200073242188,123.3499984741211,821.6300048828125,199.10000610351562
2016-10-21,132.07000732421875,112.47979736328125,818.989990234375,127.5,824.0599975585938,200.08999633789062
2016-10-24,133.27999877929688,113.49269104003906,838.0900268554688,127.33000183105469,835.739990234375,202.75999450683594
2016-10-25,132.2899932861328,114.07148742675781,835.1799926757812,126.51000213623047,828.5499877929688,202.33999633789062
2016-10-26,131.0399932861328,111.50548553466797,822.5900268554688,126.97000122070312,822.0999755859375,202.24000549316406
2016-10-27,129.69000244140625,110.4347152709961,818.3599853515625,126.47000122070312,817.3499755859375,204.00999450683594
